Word processing results: 
a - 32 
the - 26 
to - 24 
in - 15 
I - 14 
with - 13 
tag - 13 
is - 12 
regex - 11 
How - 10 
and - 10 
of - 10 
more - 10 
HTML - 10 
have - 9 
amp - 9 
or - 9 
Stack - 9 
tags - 8 
it - 8 
up - 8 
can - 8 
you - 7 
at - 7 
this - 7 
name - 7 
from - 7 
an - 6 
for - 6 
use - 6 
comments - 6 
vote - 6 
Overflow - 6 
html - 6 
like - 6 
as - 5 
if - 5 
attributes - 5 
Sign - 5 
extract - 5 
comment - 5 
parse - 4 
gt - 4 
Mar - 4 
my - 4 
on - 4 
using - 4 
ask - 4 
but - 4 
string - 4 
Why - 4 
Science - 4 
You - 4 
your - 3 
be - 3 
information - 3 
Email - 3 
questions - 3 
down - 3 
add - 3 
need - 3 
For - 3 
Language - 3 
Answers - 3 
false - 3 
Extract - 3 
text - 3 
Is - 3 
share - 3 
improvements - 3 
true - 3 
since - 3 
any - 3 
Ask - 3 
tbody - 3 
Avoid - 3 
us - 3 
not - 3 
work - 3 
suggest - 3 
line - 3 
process - 3 
match - 3 
year - 2 
would - 2 
draft - 2 
active - 2 
click - 2 
Exchange - 2 
guest - 2 
example - 2 
policy - 2 
k - 2 
s - 2 
answer - 2 
Your - 2 
votes - 2 
do - 2 
Regex - 2 
root - 2 
Post - 2 
developer - 2 
ago - 2 
thanks - 2 
other - 2 
asked - 2 
question - 2 
Join - 2 
that - 2 
all - 2 
Information - 2 
times - 2 
make - 2 
English - 2 
they - 2 
edited - 2 
want - 2 
Code - 2 
except - 2 
does - 2 
single - 2 
Name - 2 
Nov - 2 
Does - 2 
description - 2 
privacy - 2 
What - 2 
perl - 2 
answered - 2 
location - 2 
required - 2 
Development - 2 
Computer - 2 
href - 2 
nbsp - 2 
Perl - 2 
following - 2 
lead - 2 
wrong - 2 
User - 2 
Engineering - 2 
will - 2 
also - 2 
been - 1 
Server - 1 
saved - 1 
intrinsically - 1 
String - 1 
Design - 1 
score - 1 
quote - 1 
music - 1 
contributions - 1 
Picture - 1 
Questions - 1 
chucknorris - 1 
Geographic - 1 
Personal - 1 
Motor - 1 
raw - 1 
community - 1 
Hot - 1 
am - 1 
Experience - 1 
Related - 1 
Game - 1 
QUERY - 1 
Magento - 1 
looking - 1 
schema - 1 
